# Локалізація розділу «Нова Пошта» (nova.*).
# Колонки: key <TAB> en <TAB> pl <TAB> de <TAB> ro <TAB> cs <TAB> sk <TAB> hu <TAB> fr <TAB> es
nova.account	Nova Poshta account	Konto Nova Poshta	Nova-Poshta-Konto	Cont Nova Poshta	Účet Nova Poshta	Účet Nova Poshta	Nova Poshta fiók	Compte Nova Poshta	Cuenta de Nova Poshta
nova.cargoSubtitle	Parcel parameters and payment	Parametry przesyłki i płatność	Sendungsparameter und Zahlung	Parametrii coletului și plata	Parametry zásilky a platba	Parametre zásielky a platba	Csomagparaméterek és fizetés	Paramètres du colis et paiement	Parámetros del envío y pago
nova.cargoTitle	Cargo	Ładunek	Fracht	Marfă	Náklad	Náklad	Rakomány	Marchandise	Carga
nova.change	change	zmień	ändern	schimbă	změnit	zmeniť	módosítás	modifier	cambiar
nova.cityPlaceholder	Start typing a city…	Zacznij wpisywać miasto…	Stadt eingeben…	Începeți să tastați un oraș…	Začněte psát město…	Začnite písať mesto…	Kezdje el beírni a várost…	Commencez à saisir une ville…	Empiece a escribir una ciudad…
nova.clear	Clear	Wyczyść	Leeren	Golește	Vymazat	Vymazať	Törlés	Effacer	Borrar
nova.codAmount	Cash on delivery, ₴	Płatność za pobraniem, ₴	Nachnahme, ₴	Ramburs, ₴	Dobírka, ₴	Dobierka, ₴	Utánvét, ₴	Contre-remboursement, ₴	Contra reembolso, ₴
nova.codLabel	Cash on delivery	Płatność za pobraniem	Nachnahme	Ramburs	Dobírka	Dobierka	Utánvét	Contre-remboursement	Contra reembolso
nova.colActions	Actions	Działania	Aktionen	Acțiuni	Akce	Akcie	Műveletek	Actions	Acciones
nova.colCity	City	Miasto	Stadt	Oraș	Město	Mesto	Város	Ville	Ciudad
nova.colCost	Cost	Koszt	Kosten	Cost	Cena	Cena	Költség	Coût	Coste
nova.colDate	Date	Data	Datum	Dată	Datum	Dátum	Dátum	Date	Fecha
nova.colNumber	Number	Numer	Nummer	Număr	Číslo	Číslo	Szám	Numéro	Número
nova.colState	Status	Status	Status	Stare	Stav	Stav	Állapot	Statut	Estado
nova.copy	Copy	Kopiuj	Kopieren	Copiază	Kopírovat	Kopírovať	Másolás	Copier	Copiar
nova.createAnother	Create another	Utwórz kolejną	Weitere erstellen	Creează alta	Vytvořit další	Vytvoriť ďalšiu	Új létrehozása	Créer un autre	Crear otro
nova.createButton	Create waybill	Utwórz list przewozowy	Frachtbrief erstellen	Creează AWB	Vytvořit přepravní list	Vytvoriť prepravný list	Fuvarlevél létrehozása	Créer le bordereau	Crear albarán
nova.createShipment	Create shipment	Utwórz przesyłkę	Sendung erstellen	Creează colet	Vytvořit zásilku	Vytvoriť zásielku	Küldemény létrehozása	Créer un envoi	Crear envío
